seed,family,success_probability,delay_slots,capacity,capacity_ratio,method,frozen_inflight_beta,post_cost,total_cost,reference_post_cost,reference_total_cost,post_ratio_to_reference,total_ratio_to_reference,delivery_rate,redundant_attempt_rate,max_inflight_count,detected_fraction,calendar_delay,observation_delay
20261000,delay,0.9,0,4,0.2,true,16.0,114.25652707249711,117.01496376951559,114.25652707249711,117.01496376951559,1.0,1.0,0.9003125,0.0,1,nan,nan,nan
20261000,delay,0.9,0,4,0.2,sco_reset_ucb,16.0,118.86754893583344,123.59868916173374,114.25652707249711,117.01496376951559,1.0403567479380025,1.0562639612929003,0.90015625,0.0,1,0.96875,39.064516129032256,7.258064516129032
20261000,delay,0.9,0,4,0.2,ps_forced_reset_ucb,16.0,120.45420383826455,125.79254111415787,114.25652707249711,117.01496376951559,1.0542435248520634,1.075012434836381,0.90046875,0.0,1,1.0,39.0625,7.375
20261000,delay,0.9,0,4,0.2,inflight_sco_ucb,16.0,118.86754893583344,123.59868916173374,114.25652707249711,117.01496376951559,1.0403567479380025,1.0562639612929003,0.90015625,0.0,1,0.96875,39.064516129032256,7.258064516129032
20261000,delay,0.9,1,4,0.2,true,16.0,477.53179289518727,476.6785789534009,477.53179289518727,476.6785789534009,1.0,1.0,0.89890625,0.521796875,2,nan,nan,nan
20261000,delay,0.9,1,4,0.2,sco_reset_ucb,16.0,501.2894535110983,513.7277426529799,477.53179289518727,476.6785789534009,1.0497509505532034,1.0777235758756445,0.899609375,0.52265625,2,1.0,41.5,7.40625
20261000,delay,0.9,1,4,0.2,ps_forced_reset_ucb,16.0,496.4198714888378,507.9059544094236,477.53179289518727,476.6785789534009,1.0395535519826558,1.0655103393246361,0.899375,0.51140625,2,1.0,39.65625,7.15625
20261000,delay,0.9,1,4,0.2,inflight_sco_ucb,16.0,210.86317559038304,220.5514814703925,477.53179289518727,476.6785789534009,0.4415688729580882,0.46268385282728036,0.899453125,0.00421875,2,0.96875,40.70967741935484,7.451612903225806
20261000,delay,0.9,3,4,0.2,true,16.0,2541.937809002312,2496.53443355544,2541.937809002312,2496.53443355544,1.0,1.0,0.89703125,0.751640625,4,nan,nan,nan
20261000,delay,0.9,3,4,0.2,sco_reset_ucb,16.0,2710.2347749952983,2765.4898009227163,2541.937809002312,2496.53443355544,1.0662081367203242,1.1077314871977324,0.896875,0.7534375,4,1.0,42.84375,7.46875
20261000,delay,0.9,3,4,0.2,ps_forced_reset_ucb,16.0,2529.45066821423,2610.9656999890267,2541.937809002312,2496.53443355544,0.9950875506301301,1.0458360457182316,0.896640625,0.74171875,4,1.0,43.75,7.375
20261000,delay,0.9,3,4,0.2,inflight_sco_ucb,16.0,571.6680015566901,599.1001729037018,2541.937809002312,2496.53443355544,0.22489456647291647,0.23997272573184308,0.896953125,0.1146875,4,0.96875,42.41935483870968,7.32258064516129
20261000,delay,0.9,5,4,0.2,true,16.0,7443.318723497658,7288.552344549542,7443.318723497658,7288.552344549542,1.0,1.0,0.894765625,0.8321875,6,nan,nan,nan
20261000,delay,0.9,5,4,0.2,sco_reset_ucb,16.0,7945.737174515298,7948.333986863059,7443.318723497658,7288.552344549542,1.0674992526427178,1.090523002528329,0.894609375,0.8325,6,1.0,47.5,7.375
20261000,delay,0.9,5,4,0.2,ps_forced_reset_ucb,16.0,7308.0036703225305,7429.541599969282,7443.318723497658,7288.552344549542,0.9818206020457039,1.0193439312437913,0.894296875,0.822578125,6,1.0,47.625,7.4375
20261000,delay,0.9,5,4,0.2,inflight_sco_ucb,16.0,1261.9575209591048,1323.5908601650772,7443.318723497658,7288.552344549542,0.1695423194730675,0.18159859428805128,0.8946875,0.43515625,6,0.96875,44.45161290322581,7.32258064516129
20261000,capacity,0.9,1,2,0.1,true,16.0,2734.812644380039,2660.1945405479246,2734.812644380039,2660.1945405479246,1.0,1.0,0.8984375,0.5175,2,nan,nan,nan
20261000,capacity,0.9,1,2,0.1,sco_reset_ucb,16.0,2925.7798466474214,2929.8965366357143,2734.812644380039,2660.1945405479246,1.0698282577637686,1.1013843130556304,0.9,0.516875,2,0.90625,78.24137931034483,7.517241379310345
20261000,capacity,0.9,1,2,0.1,ps_forced_reset_ucb,16.0,2814.083934837504,2873.8734776130577,2734.812644380039,2660.1945405479246,1.028986004076135,1.0803245528881964,0.9009375,0.50265625,2,0.90625,72.75862068965517,7.275862068965517
20261000,capacity,0.9,1,2,0.1,inflight_sco_ucb,16.0,771.4613275132835,799.106793562865,2734.812644380039,2660.1945405479246,0.28208927916821447,0.3003941183182309,0.900625,0.0,1,0.9375,79.4,7.566666666666666
20261000,capacity,0.9,1,4,0.2,true,16.0,477.53179289518727,476.6785789534009,477.53179289518727,476.6785789534009,1.0,1.0,0.89890625,0.521796875,2,nan,nan,nan
20261000,capacity,0.9,1,4,0.2,sco_reset_ucb,16.0,501.2894535110983,513.7277426529799,477.53179289518727,476.6785789534009,1.0497509505532034,1.0777235758756445,0.899609375,0.52265625,2,1.0,41.5,7.40625
20261000,capacity,0.9,1,4,0.2,ps_forced_reset_ucb,16.0,496.4198714888378,507.9059544094236,477.53179289518727,476.6785789534009,1.0395535519826558,1.0655103393246361,0.899375,0.51140625,2,1.0,39.65625,7.15625
20261000,capacity,0.9,1,4,0.2,inflight_sco_ucb,16.0,210.86317559038304,220.5514814703925,477.53179289518727,476.6785789534009,0.4415688729580882,0.46268385282728036,0.899453125,0.00421875,2,0.96875,40.70967741935484,7.451612903225806
20261000,capacity,0.9,1,8,0.4,true,16.0,115.24908144169889,119.79682789815035,115.24908144169889,119.79682789815035,1.0,1.0,0.9002734375,0.5433984375,2,nan,nan,nan
20261000,capacity,0.9,1,8,0.4,sco_reset_ucb,16.0,117.97428654999507,124.2691340129151,115.24908144169889,119.79682789815035,1.0236462197720402,1.037332425183804,0.8999609375,0.5323046875,2,1.0,20.59375,7.46875
20261000,capacity,0.9,1,8,0.4,ps_forced_reset_ucb,16.0,118.35749160799321,124.84530537111476,115.24908144169889,119.79682789815035,1.0269712359301255,1.0421419962576686,0.900078125,0.5287109375,2,1.0,20.78125,7.46875
20261000,capacity,0.9,1,8,0.4,inflight_sco_ucb,16.0,88.96110467679999,95.40480670579325,115.24908144169889,119.79682789815035,0.7719029389557677,0.796388421794483,0.9000390625,0.0578125,2,0.96875,19.870967741935484,7.193548387096774
20261001,delay,0.9,0,4,0.2,true,16.0,107.83292350633458,114.57203346767919,107.83292350633458,114.57203346767919,1.0,1.0,0.900859375,0.0,1,nan,nan,nan
20261001,delay,0.9,0,4,0.2,sco_reset_ucb,16.0,112.09679485464868,121.13560146803032,107.83292350633458,114.57203346767919,1.0395414610832063,1.0572876975444685,0.90109375,0.0,1,1.0,39.294117647058826,7.235294117647059
20261001,delay,0.9,0,4,0.2,ps_forced_reset_ucb,16.0,113.36131897888485,123.03600445648794,107.83292350633458,114.57203346767919,1.0512681590444453,1.0738746684739295,0.90109375,0.0,1,0.9705882352941176,40.27272727272727,7.393939393939394
20261001,delay,0.9,0,4,0.2,inflight_sco_ucb,16.0,112.09679485464868,121.13560146803032,107.83292350633458,114.57203346767919,1.0395414610832063,1.0572876975444685,0.90109375,0.0,1,1.0,39.294117647058826,7.235294117647059
20261001,delay,0.9,1,4,0.2,true,16.0,442.0282444152113,463.70324131657856,442.0282444152113,463.70324131657856,1.0,1.0,0.899921875,0.5203125,2,nan,nan,nan
20261001,delay,0.9,1,4,0.2,sco_reset_ucb,16.0,465.5482711391565,499.48839668946414,442.0282444152113,463.70324131657856,1.0532093299944247,1.0771725366233842,0.900234375,0.52125,2,0.9411764705882353,41.65625,7.40625
20261001,delay,0.9,1,4,0.2,ps_forced_reset_ucb,16.0,459.15001902791164,494.33442719711314,442.0282444152113,463.70324131657856,1.0387345714420395,1.0660577351013645,0.90015625,0.51109375,2,0.9411764705882353,40.96875,7.25
20261001,delay,0.9,1,4,0.2,inflight_sco_ucb,16.0,196.10234383349328,213.22842065689093,442.0282444152113,463.70324131657856,0.4436421118133077,0.45983810691397786,0.900078125,0.0021875,2,0.9705882352941176,41.27272727272727,7.484848484848484
20261001,delay,0.9,3,4,0.2,true,16.0,2383.24839709024,2434.220967010439,2383.24839709024,2434.220967010439,1.0,1.0,0.8978125,0.75171875,4,nan,nan,nan
20261001,delay,0.9,3,4,0.2,sco_reset_ucb,16.0,2552.6744222444436,2688.9208672505633,2383.24839709024,2434.220967010439,1.071090376211334,1.1046330237443198,0.897421875,0.752578125,4,0.9705882352941176,39.75757575757576,7.515151515151516
