delay_slots,inflight_beta,seeds,reference_post_cost_mean,reference_post_cost_ci_low,reference_post_cost_ci_high,method_post_cost_mean,method_post_cost_ci_low,method_post_cost_ci_high,post_excess_pct_mean,post_excess_pct_ci_low,post_excess_pct_ci_high,redundant_attempt_rate_mean,redundant_attempt_rate_ci_low,redundant_attempt_rate_ci_high,calendar_delay_mean,calendar_delay_ci_low,calendar_delay_ci_high,detected_fraction_mean,detected_fraction_ci_low,detected_fraction_ci_high
1,8.0,6,187.44151237449486,161.8253138291257,213.05771091986404,102.16039407697765,88.7171192251764,115.6036689287789,-45.42019603091794,-46.33660158145216,-44.50379048038373,0.04105902777777778,0.037299766772430167,0.04481828878312539,35.27070707070707,33.07553097316009,37.465883168254045,1.0,1.0,1.0
1,16.0,6,187.44151237449486,161.8253138291257,213.05771091986404,100.33997014031513,86.85850964195504,113.82143063867522,-46.43528979611983,-47.27238674072731,-45.59819285151235,0.01015625,0.007877404869826646,0.012435095130173355,35.104587542087536,32.8906494035003,37.318525680674774,1.0,1.0,1.0
1,32.0,6,187.44151237449486,161.8253138291257,213.05771091986404,100.08335906145935,87.0507990101524,113.11591911276629,-46.50963987487166,-47.58479886499759,-45.43448088474573,0.0016493055555555556,0.0009314887969606107,0.0023671223141505005,34.881271043771044,33.27988425332243,36.48265783421966,0.9814814814814815,0.9451851851851852,1.017777777777778
1,64.0,6,187.44151237449486,161.8253138291257,213.05771091986404,100.23919870079315,86.94521824340976,113.53317915817655,-46.46039109668655,-47.443589824428905,-45.477192368944195,8.680555555555556e-05,-8.333333333333336e-05,0.00025694444444444446,35.3246632996633,33.57995010474706,37.06937649457954,1.0,1.0,1.0
1,1000000.0,6,187.44151237449486,161.8253138291257,213.05771091986404,100.1840172895666,86.78640768703994,113.58162689209325,-46.50457983111435,-47.46652853705316,-45.54263112517554,0.0,0.0,0.0,35.3246632996633,33.57995010474706,37.06937649457954,1.0,1.0,1.0
3,8.0,6,914.7317624699966,789.6805543939568,1039.7829705460365,306.55066764914596,262.7508531220584,350.3504821762335,-66.51988027395839,-67.35584726322043,-65.68391328469636,0.3829861111111111,0.3664107058779961,0.39956151634422604,39.078998316498314,35.32149219794952,42.83650443504711,1.0,1.0,1.0
3,16.0,6,914.7317624699966,789.6805543939568,1039.7829705460365,301.9496866033265,258.32009381480685,345.5792793918461,-67.03933941576551,-67.80834137438323,-66.27033745714779,0.27300347222222227,0.2525402123091661,0.2934667321352784,36.89217171717172,35.0069919308239,38.77735150351954,0.9814814814814815,0.9451851851851852,1.017777777777778
3,32.0,6,914.7317624699966,789.6805543939568,1039.7829705460365,302.88835898918217,259.06339813539546,346.7133198429689,-66.91196645754364,-68.03596534619206,-65.78796756889523,0.18637152777777777,0.16878588135880887,0.20395717419674667,36.08063973063973,34.77886247214422,37.382416989135244,0.9848484848484849,0.9551515151515152,1.0145454545454546
3,64.0,6,914.7317624699966,789.6805543939568,1039.7829705460365,312.0715585065838,264.77415200965527,359.36896500351236,-65.95655307359287,-67.35672562013458,-64.55638052705116,0.11241319444444446,0.09757907362356164,0.1272473152653273,35.48148148148148,34.553948111737284,36.40901485122568,0.9696969696969697,0.9321329441579999,1.0072609952359395
3,1000000.0,6,914.7317624699966,789.6805543939568,1039.7829705460365,335.72954096437843,281.0229696864679,390.43611224228897,-63.4310048471242,-65.50301540023943,-61.358994294008966,0.0,0.0,0.0,34.8032227032227,33.182387012410814,36.42405839403459,0.9640151515151515,0.9185814568024898,1.0094488462278133
5,8.0,6,2637.639267032292,2244.9364608051187,3030.3420732594655,712.1143722179231,603.1676229545146,821.0611214813316,-72.99577925749986,-74.32719839067087,-71.66436012432885,0.6499999999999999,0.6432388252650669,0.6567611747349329,42.60273569023569,38.44584333256504,46.75962804790634,1.0,1.0,1.0
5,16.0,6,2637.639267032292,2244.9364608051187,3030.3420732594655,694.111950380255,585.9461133126033,802.2777874479068,-73.69067524111189,-75.09267791118572,-72.28867257103806,0.6112847222222223,0.5997302997851233,0.6228391446593213,40.71414141414141,37.659930570765496,43.76835225751732,1.0,1.0,1.0
5,32.0,6,2637.639267032292,2244.9364608051187,3030.3420732594655,701.0826865817039,593.8367352339485,808.3286379294593,-73.41787022479372,-74.60970182199613,-72.22603862759131,0.5856770833333333,0.5728704725029595,0.5984836941637072,39.92365319865319,37.56382424516167,42.283482152144714,1.0,1.0,1.0
5,64.0,6,2637.639267032292,2244.9364608051187,3030.3420732594655,703.430589179981,597.0123258669202,809.8488524930418,-73.32550074557243,-74.32025124895623,-72.33075024218863,0.5703993055555555,0.552894833229656,0.587903777881455,40.32563131313131,37.363436492154065,43.287826134108556,1.0,1.0,1.0
5,1000000.0,6,2637.639267032292,2244.9364608051187,3030.3420732594655,697.5201863046726,591.3676253475666,803.6727472617787,-73.54527056254749,-74.75084085738486,-72.33970026771011,0.5730034722222223,0.5636830284678429,0.5823239159766016,38.68775252525253,35.06031137370792,42.315193676797136,1.0,1.0,1.0
