seed,delay_slots,method,inflight_beta,post_excess_pct,total_excess_pct,redundant_attempt_rate,calendar_delay,detected_fraction
20262000,1,sco_reset_ucb,nan,5.918664282527619,7.86789533572021,0.5171875,31.09090909090909,1.0
20262000,1,ps_forced_reset_ucb,nan,4.7611725099455215,6.463297187627393,0.509375,34.18181818181818,1.0
20262000,1,inflight_sco_ucb,0.0,5.918664282527619,7.86789533572021,0.5171875,31.09090909090909,1.0
20262000,1,inflight_sco_ucb,0.25,0.8383991460592877,2.856600033551598,0.5015625,32.18181818181818,1.0
20262000,1,inflight_sco_ucb,0.5,-7.223991448542688,-5.732009528857256,0.4671875,31.727272727272727,1.0
20262000,1,inflight_sco_ucb,1.0,-20.895121756341712,-17.616258350417315,0.40260416666666665,33.54545454545455,1.0
20262000,1,inflight_sco_ucb,2.0,-35.225114537936946,-31.542569531493747,0.2713541666666667,34.36363636363637,1.0
20262000,1,inflight_sco_ucb,4.0,-42.0780264436366,-39.773226121371096,0.1171875,32.27272727272727,1.0
20262000,3,sco_reset_ucb,nan,11.029835574368718,12.13841288119264,0.75,35.63636363636363,1.0
20262000,3,ps_forced_reset_ucb,nan,7.309682495685776,10.164457318039656,0.7432291666666667,33.9,0.9090909090909091
20262000,3,inflight_sco_ucb,0.0,11.029835574368718,12.13841288119264,0.75,35.63636363636363,1.0
20262000,3,inflight_sco_ucb,0.25,-7.313508321725155,-6.264309437769445,0.7276041666666667,37.36363636363637,1.0
20262000,3,inflight_sco_ucb,0.5,-27.14334043688472,-24.993606395129568,0.6984375,37.18181818181818,1.0
20262000,3,inflight_sco_ucb,1.0,-44.91089600203779,-43.17396376742323,0.65,37.63636363636363,1.0
20262000,3,inflight_sco_ucb,2.0,-56.31335619776142,-55.18300346149627,0.5848958333333333,37.90909090909091,1.0
20262000,3,inflight_sco_ucb,4.0,-63.46301306130619,-61.44450827553177,0.49947916666666664,36.36363636363637,1.0
20262000,5,sco_reset_ucb,nan,10.54964095387203,13.313157728805136,0.8307291666666666,41.81818181818182,1.0
20262000,5,ps_forced_reset_ucb,nan,2.3631109407656723,5.001673639996035,0.8203125,42.72727272727273,1.0
20262000,5,inflight_sco_ucb,0.0,10.54964095387203,13.313157728805136,0.8307291666666666,41.81818181818182,1.0
20262000,5,inflight_sco_ucb,0.25,-20.720489117674862,-19.56777401446061,0.80625,37.36363636363637,1.0
20262000,5,inflight_sco_ucb,0.5,-41.107322801792016,-40.45860657357772,0.778125,43.09090909090909,1.0
20262000,5,inflight_sco_ucb,1.0,-56.26337408779544,-54.336618894936336,0.7505208333333333,42.72727272727273,1.0
20262000,5,inflight_sco_ucb,2.0,-68.59162749060235,-66.00833175647502,0.7067708333333333,42.27272727272727,1.0
20262000,5,inflight_sco_ucb,4.0,-69.87406508756476,-68.09597887498356,0.6796875,43.18181818181818,1.0
