K,N,H,method,median_ms_per_slot,q1_ms_per_slot,q3_ms_per_slot,mean_ms_per_slot,std_ms_per_slot
20,4,400,cumulative_ucb_cv,1.1469829999987269,1.118318624994572,1.2264628749835538,1.1738395714253005,0.10200316217760616
20,4,400,sco_reset_ucb,1.6674242500084802,1.654190249992098,1.7497399999956542,1.7143531785664632,0.08845695660810397
40,8,400,cumulative_ucb_cv,1.7869382500066422,1.7620411250209145,1.8047903750084515,1.7808469642997287,0.030566839162843352
40,8,400,sco_reset_ucb,2.4458344999948167,2.414911125015351,2.504473749995668,2.4571427142862894,0.06287160018138034
80,16,400,cumulative_ucb_cv,2.5310487499882584,2.4963128749914176,2.545129749996704,2.5211382857118485,0.03098957649117537
80,16,400,sco_reset_ucb,4.088709499992547,3.909719999992376,4.240934124991327,4.260600642852036,0.5985298479485565
160,32,400,cumulative_ucb_cv,3.994423000003735,3.9734429999953136,4.082994875006989,4.025999071428877,0.08476918779465137
160,32,400,sco_reset_ucb,6.66205200002878,6.564540375002252,6.715291125001386,6.643064892861211,0.08543244298971138
320,64,400,cumulative_ucb_cv,6.2808352499996545,6.074833125003352,6.930739875006111,6.492132750006151,0.5096549652255956
320,64,400,sco_reset_ucb,10.586465000014869,10.411028624985192,10.780424624990701,10.658690107136083,0.45031463059255605
